repo,pr_number,title,author,state,was_merged,body,created_at,closed_at,merged_at,additions,deletions,changed_files,commits,comments_count,review_comments_count
pytorch/pytorch,167368,[HOP][print]Add functionalize and side effect,fxdawnn,closed,True,"Fixes #ISSUE_NUMBER

Resolve local ghstack issue",2025-11-07 21:45:47+00:00,2025-11-07 21:49:57+00:00,2025-11-07 21:49:57+00:00,74,13,3,5,1,0
pytorch/pytorch,167366,[dynamo][ez] Initialize tracer_output to None by default.,pytorchbot,closed,True,"Summary:
In edge cases, tracer_output can be left unset if there's double exception raised which causes the following issue:
```
UnboundLocalError: local variable 'tracer_output' referenced before assignment
```

Default initialize this variable so that it's always present.

Test Plan:
CI

Rollback Plan:

Differential Revision: D82652815




cc @voznesenskym @penguinwu @EikanWang @jgong5 @Guobing-Chen @XiaobingSuper @zhuhaozhe @blzheng @wenzhe-nrv @jiayisunx @chenyang78 @kadeng @chauhang @amjames @Lucaskabela",2025-11-07 21:26:53+00:00,2025-11-07 22:03:33+00:00,2025-11-07 22:03:33+00:00,1,0,1,1,1,0
pytorch/pytorch,167361,Change forkserver test to only run below 3.13.8,pytorchbot,closed,True,"A multiprocessing bug is fixed in 3.13.8, see [https://docs.python.org/3.13/whatsnew/changelog.html](https://l.workplace.com/l.php?u=https%3A%2F%2Fdocs.python.org%2F3.13%2Fwhatsnew%2Fchangelog.html&h=AT0qUhHJq5c2UJvQaq9_MrSo0mVhwn1VOfq1nDQl2C1UOhDI80RMbzVayhG7LSAT1uYHKtkftKnBDwiGMhbw0YRvQLe5vwE01qejpPFautHvU3LXeOE1KChPykqz3qnCRzk7czu_iNzQ05shR4F1N_qYOzR5YxejA52ZZQ), [gh-126631](https://github.com/python/cpython/issues/126631)

So this test will fail when we update to python 3.13.8",2025-11-07 21:02:15+00:00,2025-11-07 21:58:33+00:00,2025-11-07 21:58:33+00:00,6,0,1,1,1,0
pytorch/pytorch,167327,[cuDNN][SDPA][Convolution] Expose cuDNN runtime version in CUDA hooks,pytorchbot,closed,True,"cuDNN dispatching heuristics rely on versions checks but currently only that compile-time version is exposed, if we want to allow users to resolve https://github.com/pytorch/pytorch/issues/166643 on their end by updating their cuDNN version locally we need to check the runtime version rather than compile-time version.

Test plan: add test comparing performance with cuDNN 9.15+ when disabling and enabling convolutino explicilty for 3D cases.

Also partially covered by smoke test PR: https://github.com/pytorch/pytorch/pull/165922/files

cc @csarofeen @ptrblck @xwang233 @jgong5 @mingfeima @XiaobingSuper @sanchitintel @ashokei @jingxu10 @jerryzh168 @aditew01",2025-11-07 16:44:21+00:00,2025-11-07 22:04:27+00:00,2025-11-07 22:04:27+00:00,43,9,7,1,1,0
pytorch/pytorch,167323,Cherry-pick LibTorch Stable ABI documentation (#167112 #166661 #163899),mikaylagawarecki,closed,True,Cherry-pick ABI docs into release branch #167112 #166661 #163899,2025-11-07 15:54:39+00:00,2025-11-07 16:35:34+00:00,2025-11-07 16:35:34+00:00,207,9,2,3,1,0
pytorch/pytorch,167158,don't produce invalid grid configs (#166973),ngimel,closed,True,"Proper fix for #164048, fixes gather too, reverts #164049 Pull Request resolved: https://github.com/pytorch/pytorch/pull/166974 Approved by: https://github.com/eqy

Fixes #ISSUE_NUMBER
",2025-11-05 23:58:57+00:00,2025-11-06 17:36:56+00:00,2025-11-06 17:36:56+00:00,15,10,3,1,1,0
pytorch/pytorch,167122,Symintify fused_scaled_matmul_reduce_scatter,pytorchbot,closed,True,"Fixes #ISSUE_NUMBER


cc @H-Huang @awgu @wanchaol @fegin @fduwjj @wz337 @wconstab @d4l3k @pragupta @msaroufim @dcci",2025-11-05 20:35:03+00:00,2025-11-05 22:03:49+00:00,2025-11-05 22:03:49+00:00,1,1,1,1,1,0
pytorch/pytorch,167121,[cuDNN][SDPA] Check-in test for #166211,pytorchbot,closed,True,"Repros without the neeed for specific tensor data.
Should be passing with cuDNN frontend 1.15.0 which current `main` has.

cc @csarofeen @ptrblck @xwang233",2025-11-05 20:26:52+00:00,2025-11-05 21:59:30+00:00,2025-11-05 21:59:30+00:00,24,0,1,1,1,0
pytorch/pytorch,167023,[Flight Recorder] Reverted to include stack traces for dump pipe triggered FR dump,VieEeEw,closed,True,"Summary: We should also retry if include stacktraces failed.

Test Plan: eyes

cc @H-Huang @awgu @wanchaol @fegin @fduwjj @wz337 @wconstab @d4l3k @pragupta @msaroufim @dcci",2025-11-04 23:19:07+00:00,2025-11-06 17:16:29+00:00,2025-11-06 17:16:29+00:00,1,1,1,1,9,0
pytorch/pytorch,167020,[Minor][Inductor] move some combo kernel log from warning to debug,pytorchbot,closed,True,"Combo kernel warns for long reduction and large pointwise. This becomes too spammy for users such as vLLM.

This PR moves these logs from warn to debug. I validated the spammy log is removed on llama-3.1-8B.

cc @voznesenskym @penguinwu @EikanWang @jgong5 @Guobing-Chen @XiaobingSuper @zhuhaozhe @blzheng @wenzhe-nrv @jiayisunx @ipiszy @chenyang78 @kadeng @muchulee8 @amjames @chauhang @aakhundov @coconutruben",2025-11-04 22:21:01+00:00,2025-11-05 20:48:31+00:00,2025-11-05 20:48:31+00:00,2,2,1,1,1,0
pytorch/pytorch,167008,Update triton to 3.5.1 release (#166968),atalman,closed,True,"This includes sm103 https://github.com/triton-lang/triton/pull/8485 fix

Pull Request resolved: https://github.com/pytorch/pytorch/pull/166968
Approved by: https://github.com/Lucaskabela, https://github.com/njriasan

",2025-11-04 21:33:43+00:00,2025-11-04 21:57:01+00:00,2025-11-04 21:57:01+00:00,2,2,2,1,1,0
pytorch/pytorch,166998,Delete deprecated fp32 precision warnings (#166956),Lucaskabela,closed,True,"The deprecation warning led to warning spamming in PyTorch APIs, like torch.compile. This is not how a deprecation warning should go: if we add a deprecation warning, we'd better update our built-in APIs to prevent warning spam.
Pull Request resolved: https://github.com/pytorch/pytorch/pull/166956 Approved by: https://github.com/albanD

(cherry picked from commit 527b1109a8a8d8ae9e1c76c057468aacb302ed84)

Fixes #166286
",2025-11-04 19:52:29+00:00,2025-11-05 22:38:41+00:00,2025-11-05 22:38:41+00:00,0,14,1,1,2,2
pytorch/pytorch,166994,[GraphPartition] cache get_free_symbol_uses (#166338),Lucaskabela,closed,True,"Graph partition relies on `get_free_symbol_uses()` to collect symbol inputs. https://github.com/pytorch/pytorch/blob/ee7434be822cf6e75b4566d8159f550ee233d8ae/torch/_inductor/scheduler.py#L4869-L4885

I empirically observed that `get_free_symbol_uses()` becomes slower for larger graphs. Specifically, I tried to aten fallback for torchtitan which results in 10k+ aten nodes. When processing the 600-th node, it takes seconds to `get_free_symbol_uses()` for 1 node.

Why? Because `get_free_symbol_uses()` may recursively call another `get_free_symbol_uses()`, which could recursively run many times. https://github.com/pytorch/pytorch/blob/ee7434be822cf6e75b4566d8159f550ee233d8ae/torch/_inductor/ir.py#L4541-L4543

This PR fixes the issue by caching the results of `get_free_symbol_uses()`. I validated on torchtitan that the issue is fixed.

Pull Request resolved: https://github.com/pytorch/pytorch/pull/166338

(cherry picked from commit dfebdcab86acbaa0eaa996b47595e5f27a66492e)



cc @voznesenskym @penguinwu @EikanWang @jgong5 @Guobing-Chen @XiaobingSuper @zhuhaozhe @blzheng @wenzhe-nrv @jiayisunx @ipiszy @chenyang78 @kadeng @muchulee8 @amjames @chauhang @aakhundov @coconutruben",2025-11-04 19:45:09+00:00,2025-11-06 16:39:46+00:00,2025-11-06 16:39:46+00:00,161,4,2,1,3,0
pytorch/pytorch,166985,[Graph Partition] fix graph partition input signature for fallback kernels,pytorchbot,closed,True,"Scheduler relies on node.last_usage to free buffers. `last_usage` may contain a buffer that is allocated in previous graph partition AND not directly accessed in the current graph partition.


## Example
```python
def f(x):
    y = x + 1
    z = torch.ops.aten.view.dtype(y, torch.float8_e4m3fn)
    z_cpu = z.cpu()
    u_cuda = z_cpu.cuda()
    return u_cuda
```

In the generated code, we have
```
def partition_0(args):
    ...
    # Topologically Sorted Source Nodes: [y, z], Original ATen: [aten.add, aten.view]
    buf1 = torch.ops.aten.view.dtype(buf0, torch.float8_e4m3fn) # < ------ buf1 is a view of buf0
    buf2 = buf1 # <------- buf2 is buf1 
    assert_size_stride(buf2, (8, ), (1, ), 'torch.ops.aten.view.dtype')
    assert_alignment(buf2, 16, 'torch.ops.aten.view.dtype')
    return (buf2, )

def call(self, args):
    ...
    (buf2,) = self.partitions[0](partition0_args)
    ...
    buf3.copy_(buf2, False)
    del buf0
    del buf1
    del buf2  # <---- `del buf2` leads to `del buf0`. BUT `buf0` is not returned from partition_0.
    ...
```

Note: view is treated as a fallback kernel due to its special dtype.
https://github.com/pytorch/pytorch/blob/de09bab4b66002a8a9a2195f50f96a78868a3d39/torch/_inductor/lowering.py#L841-L843

## Fix

This PR fixes the issue by also returning these buffers to be freed later.

cc @voznesenskym @penguinwu @EikanWang @jgong5 @Guobing-Chen @XiaobingSuper @zhuhaozhe @blzheng @wenzhe-nrv @jiayisunx @ipiszy @chenyang78 @kadeng @muchulee8 @amjames @chauhang @aakhundov @coconutruben",2025-11-04 18:53:46+00:00,2025-11-05 20:09:31+00:00,2025-11-05 20:09:31+00:00,26,0,2,1,1,0
pytorch/pytorch,166984,[Graph Partition] fix partition x memory plan issue,pytorchbot,closed,True,"For `test_graph_partition_with_memory_plan_reuse`, before this PR, when using graph partition, it would error ([P1992728479](https://www.internalfb.com/phabricator/paste/view/P1992728479)):

```
def partition_0(args):
    ...
    del buf0
    return (buf3, buf4, buf5, buf2, primals_4, )

...

  File ""/tmp/torchinductor_boyuan/ww/cwwc7ukfqscg2vy6ankby2fizdb377tvgyx3fwdgddrxe3g47jg6.py"", line 132, in partition_0
    return (buf3, buf4, buf5, buf2, primals_4, )
                              ^^^^
NameError: name 'buf2' is not defined. Did you mean: 'buf0'?
```

When not using graph partition, it would work and give the following code ([P1992997521](https://www.internalfb.com/phabricator/paste/view/P1992997521)):

```
def call(self, args):
    ...
    buf2 = buf0; del buf0  # reuse
    ...
```

Note that the issue is buf0 is not reused for buf2 when using graph partition.

Why? Because the codegen runs `run_wrapper_ir_passes` and `memory_plan_reuse`, which pops tailing `MemoryPlanningLine` unless it is in graph output by checking `V.graph.get_output_names()`. However, for graph partition, we should check the output of the current partition instead of the graph before partition.





cc @voznesenskym @penguinwu @EikanWang @jgong5 @Guobing-Chen @XiaobingSuper @zhuhaozhe @blzheng @wenzhe-nrv @jiayisunx @ipiszy @chenyang78 @kadeng @muchulee8 @amjames @chauhang @aakhundov @coconutruben",2025-11-04 18:52:10+00:00,2025-11-05 20:36:03+00:00,2025-11-05 20:36:03+00:00,126,3,3,1,1,0
pytorch/pytorch,166967,[Graph Partition] move custom rules to inductor config (#166458),Lucaskabela,closed,True,"This PR adds `custom_should_partition_ops: list[str]` to specify the name of custom ops upon which graph partition happens. It works with cache since it is a `list[str]` in the config file. The op name should be of format ""mylib::baz"".

https://github.com/pytorch/pytorch/pull/166458 as original PR

(cherry picked from commit bebabd7fce29ea49b9269aeaa9fe3f34a3e1127e)

Fixes #165341


cc @voznesenskym @penguinwu @EikanWang @jgong5 @Guobing-Chen @XiaobingSuper @zhuhaozhe @blzheng @wenzhe-nrv @jiayisunx @ipiszy @chenyang78 @kadeng @muchulee8 @amjames @chauhang @aakhundov @coconutruben",2025-11-04 17:32:56+00:00,2025-11-05 20:02:08+00:00,2025-11-05 20:02:07+00:00,42,51,3,1,2,0
pytorch/pytorch,166965,[release-only] Update version to 2.9.1,atalman,closed,True,Similar to https://github.com/pytorch/pytorch/commit/f77213d3dae5d103a39cdaf93f21863843571e8d,2025-11-04 17:28:50+00:00,2025-11-04 18:55:44+00:00,2025-11-04 18:55:44+00:00,1,1,1,1,1,0
pytorch/pytorch,166925,[dynamo] fix error_on_graph_break bug where non-empty checkpoint results in unwanted graph break resumption,Lucaskabela,closed,True,"Cherrypick for (#166586)


Fixes https://github.com/pytorch/pytorch/issues/166589

cc @voznesenskym @penguinwu @EikanWang @jgong5 @Guobing-Chen @XiaobingSuper @zhuhaozhe @blzheng @wenzhe-nrv @jiayisunx @chenyang78 @kadeng @chauhang @amjames",2025-11-04 03:19:44+00:00,2025-11-05 20:00:39+00:00,2025-11-05 20:00:39+00:00,30,0,2,1,1,0
pytorch/pytorch,166924,"[dynamo] fix keyerror in resume_execution,  fix store attr",Lucaskabela,closed,True,"Fixes #166176

See also stack on https://github.com/pytorch/pytorch/pull/166036

cc @voznesenskym @penguinwu @EikanWang @jgong5 @Guobing-Chen @XiaobingSuper @zhuhaozhe @blzheng @wenzhe-nrv @jiayisunx @chenyang78 @kadeng @chauhang @amjames",2025-11-04 03:10:26+00:00,2025-11-05 19:58:09+00:00,2025-11-05 19:58:08+00:00,153,89,4,3,1,3
pytorch/pytorch,166922,[Inductor] No longer throw error in bmm out_dtype lowering due to tem…,Lucaskabela,closed,True,"…plate heuristics (#166457)

(cherry picked from commit c2e3cc7aedb2e7d89443225c7cccd08a0f8a3587)

Fixes #165892


cc @voznesenskym @penguinwu @EikanWang @jgong5 @Guobing-Chen @XiaobingSuper @zhuhaozhe @blzheng @wenzhe-nrv @jiayisunx @ipiszy @chenyang78 @kadeng @muchulee8 @amjames @chauhang @aakhundov @coconutruben",2025-11-04 02:59:32+00:00,2025-11-07 16:30:59+00:00,2025-11-07 16:30:59+00:00,26,2,2,1,5,0
pytorch/pytorch,166914,[dynamo] Revert C++-fying of symbolic shape guards,pytorchbot,closed,True,"Moving symbolic shape guards to C++ causes compile time issues. This basically boils down to a tradeoff question.

For models that have large amount of dynamic shape guards, this flag will help reduce guard latency. But for most of the models, that have a very few dynamic shape guards, the guard lantecy is anyways small. These models will still see a high compile time hit because of calling gcc during the compile.

So a good default value seems to be False. We can write a doc to give guidance on reducing guard latency.

Fixes #ISSUE_NUMBER


cc @voznesenskym @penguinwu @EikanWang @jgong5 @Guobing-Chen @XiaobingSuper @zhuhaozhe @blzheng @wenzhe-nrv @jiayisunx @chenyang78 @kadeng @chauhang @amjames @Lucaskabela",2025-11-04 00:21:59+00:00,2025-11-05 19:52:43+00:00,2025-11-05 19:52:43+00:00,1,1,1,1,1,0
pytorch/pytorch,166913,[Dynamo] Don't guard data ptrs by default with mark_static_address,pytorchbot,closed,True,"Fixes https://github.com/pytorch/pytorch/issues/156377

Since we now re-record cudagraphs, it's not necessary to guard by default anymore and induce a full recompile. 


cc @voznesenskym @penguinwu @EikanWang @jgong5 @Guobing-Chen @XiaobingSuper @zhuhaozhe @blzheng @wenzhe-nrv @jiayisunx @ipiszy @chenyang78 @kadeng @muchulee8 @amjames @chauhang @aakhundov @coconutruben @Lucaskabela",2025-11-04 00:21:38+00:00,2025-11-05 19:51:26+00:00,2025-11-05 19:51:26+00:00,11,10,3,1,1,0
pytorch/pytorch,166912,[2.9.1][cuDNN][SDPA] bump cuDNN frontend to 1.12 patch release,eqy,closed,True,"For #166211 in 2.9.1

CC @Lucaskabela 

cc @csarofeen @ptrblck @xwang233",2025-11-04 00:12:35+00:00,2025-11-04 20:55:21+00:00,2025-11-04 20:55:21+00:00,1,1,1,1,5,0
pytorch/pytorch,166911,Fix image display on pypi project description section,pytorchbot,closed,True,"Fixes https://github.com/pytorch/pytorch/issues/165559
",2025-11-04 00:03:12+00:00,2025-11-04 18:54:19+00:00,2025-11-04 18:54:19+00:00,3,3,1,1,1,0
pytorch/pytorch,166910,[inductor] don't try to reorder loops for template,pytorchbot,closed,True,"Stack from [ghstack](https://github.com/ezyang/ghstack) (oldest at bottom):
* __->__ #165601


fix https://github.com/pytorch/pytorch/issues/165579 


cc @voznesenskym @penguinwu @EikanWang @jgong5 @Guobing-Chen @XiaobingSuper @zhuhaozhe @blzheng @wenzhe-nrv @jiayisunx @ipiszy @chenyang78 @kadeng @muchulee8 @amjames @chauhang @aakhundov @coconutruben",2025-11-04 00:00:36+00:00,2025-11-05 19:49:21+00:00,2025-11-05 19:49:21+00:00,31,0,2,1,1,0
